Pseudomonas aeruginosa BWHPSA039 adkgf-supercont1.1, whole genome shotgun sequence.	GCF0005204151	NZKI9145301	2639633	2643533	3900
Pseudomonas aeruginosa strain AUS483 IPC434_1.1, whole genome shotgun sequence	GCF0038390251	NZNSXA010000011	301747	322613	20866
Pseudomonas aeruginosa strain AZPAE14877 AZPAE14877_contig_7, whole genome shotgun sequence.	GCF0007904851	NZJTTL010000071	258256	304134	45878
Pseudomonas aeruginosa strain Pa2441 K9_S46_R1__paired__contig_8, whole genome shotgun sequence	GCF0036113951	NZNRCC010000081	113114	162227	49113
Pseudomonas aeruginosa strain IMP66 chromosome, complete genome	GCF0080337651	NZCP0289591	2461503	2477118	15615
Pseudomonas aeruginosa strain Y71 chromosome, complete genome	GCF0034084951	NZCP0309111	2453519	2510521	57002
Pseudomonas aeruginosa isolate 112, whole genome shotgun sequence.	GCF9001445351	NZFRII010000341	39288	69451	30163
Pseudomonas aeruginosa strain TNCF_49M NODE_18_length_142543_cov_12.8506_ID_35, whole genome shotgun sequence.	GCF0017657151	NZMAZO010000251	83317	130468	47151
Pseudomonas aeruginosa strain FDAARGOS_154 scf7180000000010_quiver_pilon, whole genome shotgun sequence.	GCF0014713551	NZLORM020000011	5776532	5919199	142667
Pseudomonas aeruginosa strain WH-SGI-V-07409 WH-SGI-V-07409_contig3, whole genome shotgun sequence.	GCF0014513351	NZLLOW010000681	481191	537091	55900
Pseudomonas aeruginosa strain 163940 TF3940_S24_R1_001__paired__contig_2, whole genome shotgun sequence	GCF0037213951	NZRJAG010000021	35173	54708	19535
Pseudomonas aeruginosa strain AZPAE14550 AZPAE14550_contig_3, whole genome shotgun sequence.	GCF0007944251	NZJTXW010000031	43317	71331	28014
Pseudomonas aeruginosa strain NCTC10731, whole genome shotgun sequence.	GCF9004553851	NZUGUI010000021	11994	55671	43677
Pseudomonas aeruginosa strain WH-SGI-V-07619 WH-SGI-V-07619_contig15, whole genome shotgun sequence.	GCF0014519651	NZLLQQ010000501	54502	109815	55313
Pseudomonas aeruginosa strain PASGNDM591 PASGNDM591_contig_8, whole genome shotgun sequence.	GCF0021349651	NZNDFW010000431	55930	116115	60185
Pseudomonas aeruginosa strain ATCC 9027 NODE_2_length_504645_cov_63.9523, whole genome shotgun sequence.	GCF0026018151	NZNIQD010000021	127593	183060	55467
Pseudomonas aeruginosa strain AZPAE14965 AZPAE14965_contig_10, whole genome shotgun sequence.	GCF0007919051	NZJTQC010000101	108102	135420	27318
Pseudomonas aeruginosa strain 4114358565 IPC1507_2.1, whole genome shotgun sequence	GCF0043710951	NZRWML010000021	7101	36265	29164
Pseudomonas aeruginosa strain WH-SGI-V-07071 WH-SGI-V-07071_contig1, whole genome shotgun sequence.	GCF0014492751	NZLLLH010000011	468659	479139	10480
Pseudomonas aeruginosa strain PA-W15 IPC9_2.1, whole genome shotgun sequence	GCF0038417151	NZNTAV010000021	387936	409398	21462
Pseudomonas aeruginosa strain PASGNDM587 PASGNDM587_contig_6, whole genome shotgun sequence.	GCF0021348951	NZNDFV010000421	55930	116115	60185
Pseudomonas aeruginosa strain Liverpool Epidemic Strain, whole genome shotgun sequence.	GCF0008244051	NZCCPG010000031	37886	123916	86030
Pseudomonas aeruginosa isolate 278, whole genome shotgun sequence.	GCF9001460851	NZFROG010000071	35792	100684	64892
Pseudomonas aeruginosa strain JYH15 IPC1226_1.1, whole genome shotgun sequence	GCF0039749951	NZRXBU010000011	478394	526486	48092
Pseudomonas aeruginosa strain WH-SGI-V-07693 WH-SGI-V-07693_contig16, whole genome shotgun sequence.	GCF0014525651	NZLLSN010000681	43979	110011	66032
Pseudomonas aeruginosa strain UMB2231 NODE_7_length_156382_cov_5.814598, whole genome shotgun sequence	GCF0098073951	NZWUDJ010000071	58651	106905	48254
Pseudomonas aeruginosa M9A.1 genomic scaffold adget-supercont1.1, whole genome shotgun sequence.	GCF0004805351	NZKI5187221	2021536	2035750	14214
Pseudomonas aeruginosa strain VET-21 NODE_5_length_264317_cov_27.147_ID_9, whole genome shotgun sequence	GCF0036306351	NZRACO010000681	80951	139988	59037
Pseudomonas aeruginosa genome assembly 251_10Pc_2_contgs_500, contig NODE_2_length_451136_cov_25.06_ID_3, whole genome shotgun sequence.	GCF0013739751	NZCTDP010000201	78411	98212	19801
Pseudomonas aeruginosa strain GO70 NODE_8_length_386768_cov_35.521321, whole genome shotgun sequence	GCF0070043651	NZVJMR010000081	304244	320571	16327
Pseudomonas aeruginosa BWHPSA017 genomic scaffold adgeW-supercont1.2, whole genome shotgun sequence.	GCF0004813651	NZKI5190641	1713226	1717126	3900
Pseudomonas aeruginosa isolate 209, whole genome shotgun sequence.	GCF9001455151	NZFRMB010000131	7790	23571	15781
Pseudomonas aeruginosa strain AUS222 IPC247_4.1, whole genome shotgun sequence	GCF0039766851	NZRXFG010000041	54027	75659	21632
Pseudomonas aeruginosa CF5 genomic scaffold adgfB-supercont1.1, whole genome shotgun sequence.	GCF0004818851	NZKI5192711	1675473	1698652	23179
Pseudomonas aeruginosa isolate 289, whole genome shotgun sequence.	GCF9001461951	NZFROR010000881	98593	163485	64892
Pseudomonas aeruginosa BL20 genomic scaffold adgeI-supercont1.1, whole genome shotgun sequence.	GCF0004807451	NZKI5187961	2480640	2489867	9227
Pseudomonas aeruginosa NCGM2.S1 DNA, complete genome.	GCF0002845551	NC0175491	4098397	4133468	35071
Pseudomonas aeruginosa strain AR_0456 AR_456.contig.0_1, whole genome shotgun sequence.	GCF0033242951	NZQMGO010000011	6419120	6485377	66257
Pseudomonas aeruginosa isolate LRJ15, whole genome shotgun sequence.	GCF9001482751	NZFRWN010000401	7801	24628	16827
Pseudomonas aeruginosa strain SCVJan, complete genome.	GCF0019002251	NZCP0134781	2408400	2430296	21896
Pseudomonas aeruginosa isolate 211, whole genome shotgun sequence.	GCF9001455351	NZFRMD010000061	7798	23579	15781
Pseudomonas aeruginosa LES400 sequence.	GCF0005839351	NZCP0069821	2503521	2550381	46860
Pseudomonas aeruginosa isolate paerg006, whole genome shotgun sequence	GCF9006079151	NZUWWR010000011	3737111	3771538	34427
Pseudomonas aeruginosa strain AMT0005-135 IPC540_2.1, whole genome shotgun sequence	GCF0039755351	NZRXDQ010000021	495337	509201	13864
Pseudomonas aeruginosa strain 6089 IPC1336_7.1, whole genome shotgun sequence	GCF0043714151	NZRWNZ010000071	56607	100215	43608
Pseudomonas aeruginosa strain PA-W22 IPC14_2.1, whole genome shotgun sequence	GCF0038416251	NZNTAQ010000021	317174	337071	19897
Pseudomonas aeruginosa strain PA-W36 IPC1295_1.1, whole genome shotgun sequence	GCF0038335451	NZNSNE010000011	145127	199066	53939
Pseudomonas aeruginosa strain 12-4-4(59), complete genome.	GCF0014823251	NZCP0136961	4014095	4077840	63745
