Pseudomonas aeruginosa strain 6436 NODE_2_length_349212_cov_19.905521, whole genome shotgun sequence	GCF0079229251	NZVOJE010000021	26
Pseudomonas sp. 286 isolate p4.H11, whole genome shotgun sequence	GCF9005988151	NZUVTA010000331	5
Pseudomonas aeruginosa isolate 440, whole genome shotgun sequence.	GCF9001476651	NZFRUI010000641	25
Pseudomonas aeruginosa strain AZPAE14978 AZPAE14978_contig_12, whole genome shotgun sequence.	GCF0007921651	NZJTPQ010000121	73
Pseudomonas aeruginosa isolate 247, whole genome shotgun sequence.	GCF9001458251	NZFRNF010000321	21
Pseudomonas aeruginosa strain AZPAE14403 AZPAE14403_contig_6, whole genome shotgun sequence.	GCF0007961251	NZJTYO010000061	23
Pseudomonas aeruginosa isolate 291, whole genome shotgun sequence.	GCF9001462251	NZFROS010000561	99
Pseudomonas aeruginosa strain W91453 contig3, whole genome shotgun sequence.	GCF0029271351	NZJPFG010000031	128
Pseudomonas fluorescens isolate PS663, whole genome shotgun sequence	GCF9024977051	NZCABVGT0100000021	5
Pseudomonas aeruginosa isolate 283, whole genome shotgun sequence.	GCF9001461351	NZFROL010000631	99
Pseudomonas aeruginosa strain DUN-015A IPC1027_3.1, whole genome shotgun sequence	GCF0038357251	NZNSQW010000031	24
Pseudomonas aeruginosa isolate 93, whole genome shotgun sequence.	GCF9001443551	NZFRHL010000361	37
Pseudomonas aeruginosa strain HIAE_PA21 1c, whole genome shotgun sequence.	GCF0030552951	NZQBEB010000011	26
Pseudomonas aeruginosa strain HUM-295 PA3_B8_NODE_3_length_303537_cov_39.2247_ID_5, whole genome shotgun sequence	GCF0036294751	NZRAEU010000391	108
Pseudomonas aeruginosa strain TNCF_69 NODE_14_length_142604_cov_19.0481_ID_27, whole genome shotgun sequence.	GCF0017657551	NZMAZQ010000291	77
Pseudomonas sp. 286 isolate p11.A5, whole genome shotgun sequence	GCF9005766551	NZUSZS010000011	1403
Pseudomonas sp. 286 isolate p6.A5, whole genome shotgun sequence	GCF9005997651	NZUVWQ010000011	1403
Pseudomonas aeruginosa strain AU12424 NODE_1_length_811184_cov_9.54437_ID_1, whole genome shotgun sequence.	GCF0015548751	NZLRZN010000111	81
Pseudomonas aeruginosa strain 6003 IPC1329_1.1, whole genome shotgun sequence	GCF0043715551	NZRWOG010000011	89
Pseudomonas aeruginosa strain W70322 contig3, whole genome shotgun sequence.	GCF0029272151	NZJPFF010000031	22
Pseudomonas aeruginosa strain AZPAE14813 AZPAE14813_contig_8, whole genome shotgun sequence.	GCF0007950851	NZJTVV010000081	69
Pseudomonas aeruginosa strain F9670, complete genome.	GCF0015428351	NZCP0088731	12
Pseudomonas sp. HMSC070B12 Scaffold177, whole genome shotgun sequence.	GCF0018375451	NZKV8328781	24
Pseudomonas aeruginosa strain PA198 NODE_19_length_136577_cov_21.814254, whole genome shotgun sequence	GCF0097273251	NZWOAL010000191	85
Pseudomonas aeruginosa, whole genome shotgun sequence.	GCF0007517151	NZCCVU010000011	95
Pseudomonas aeruginosa strain SJU-W4_3 NODE_10_length_229733_cov_57.511, whole genome shotgun sequence.	GCF0025164151	NZNREV010000101	34
Pseudomonas aeruginosa strain BAMC 07-48, complete genome.	GCF0016322451	NZCP0153771	27
Pseudomonas aeruginosa RP73, complete genome.	GCF0004140351	NC0215771	21
Pseudomonas aeruginosa strain AZPAE14867 AZPAE14867_contig_2, whole genome shotgun sequence.	GCF0007902151	NZJTTV010000021	165
Pseudomonas aeruginosa isolate 163, whole genome shotgun sequence.	GCF9001450551	NZFRJZ010000551	31
Pseudomonas aeruginosa strain CCBH18249 scaffold19.1, whole genome shotgun sequence	GCF0041463251	NZSELB010000191	99
Pseudomonas aeruginosa SG17M Scaffold1, whole genome shotgun sequence.	GCF0005682151	NZJALF010000011	87
Pseudomonas aeruginosa strain WH-SGI-V-07073 WH-SGI-V-07073_contig1, whole genome shotgun sequence.	GCF0014492551	NZLLLG010000011	22
Pseudomonas aeruginosa strain TNCF_155 NODE_12_length_179633_cov_27.4724_ID_23, whole genome shotgun sequence.	GCF0017659751	NZMBMK010000131	77
Pseudomonas aeruginosa strain AZPAE14814 AZPAE14814_contig_14, whole genome shotgun sequence.	GCF0007951051	NZJTVU010000141	92
Pseudomonas aeruginosa strain Jp100 IPC750_1.1, whole genome shotgun sequence	GCF0039753851	NZRXDD010000011	25
Pseudomonas sp. 286 isolate p7.H1, whole genome shotgun sequence	GCF9006013151	NZUWCP010000011	1606
Pseudomonas aeruginosa strain 298S020611BSL_PA1 IPC68_2.1, whole genome shotgun sequence	GCF0043743151	NZRWTY010000021	89
Pseudomonas aeruginosa strain 4064321111 IPC1494_1.1, whole genome shotgun sequence	GCF0043706151	NZRWMX010000011	26
Pseudomonas aeruginosa isolate PSA-14, whole genome shotgun sequence	GCF9001069151	NZFNMS010000231	26
Pseudomonas aeruginosa strain PAC44A IPC154_2.1, whole genome shotgun sequence	GCF0043787451	NZRWRZ010000021	89
Pseudomonas aeruginosa isolate 240, whole genome shotgun sequence.	GCF9001457551	NZFRMW010000561	21
Pseudomonas aeruginosa BWHPSA041 adkgd-supercont1.1, whole genome shotgun sequence.	GCF0005203751	NZKI9145151	71
Pseudomonas aeruginosa strain PA193 NODE_3_length_620854_cov_18.517145, whole genome shotgun sequence	GCF0097273351	NZWOAM010000031	26
Pseudomonas aeruginosa BWH054 adTyv-supercont1.1, whole genome shotgun sequence.	GCF0006295051	NZKK2132231	103
Pseudomonas aeruginosa strain A13 IPC691_3.1, whole genome shotgun sequence	GCF0038370451	NZNSUW010000031	77
Pseudomonas aeruginosa strain AZPAE12420 AZPAE12420_contig_16, whole genome shotgun sequence.	GCF0007972851	NZJTZU010000161	89
Pseudomonas aeruginosa strain WH-SGI-V-07236 WH-SGI-V-07236_contig2, whole genome shotgun sequence.	GCF0014507451	NZLLNH010000121	27
Pseudomonas aeruginosa strain VA-134, complete genome.	GCF0014478451	NZCP0132451	45
